,Route_ID,User_ID,Sequence,Total_Duration,Total_Cost,Weather,Traffic_Level,Crowd_Density,Event_Impact,Optimal_Route_Preference,Satisfaction_Score,Age,Gender,Nationality,Travel_Companions,Budget_Category,Preferred_Theme,Preferred_Transport
10,11,109,"['Louvre Museum', 'Notre-Dame Cathedral', 'Sistine Chapel', 'Amber Fort', 'Acropolis of Athens', 'Kruger National Park']",148,6451,Rainy,High,Low,Festival,"['Louvre Museum', 'Notre-Dame Cathedral', 'Sistine Chapel', 'Amber Fort', 'Acropolis of Athens', 'Kruger National Park']",4,40,Male,USA,Family,Low,Food,Car
11,12,29,"['Uffizi Gallery', 'Terracotta Army', 'Banff National Park', 'Kyoto Temples', 'Grand Canyon', 'Machu Picchu Citadel']",490,6580,Snowy,High,Medium,Holiday,"['Uffizi Gallery', 'Terracotta Army', 'Banff National Park', 'Kyoto Temples', 'Grand Canyon', 'Machu Picchu Citadel']",3,40,Other,China,Friends,Medium,Cultural,Taxi
12,13,168,"['Uluru', 'Temple of Karnak', 'Venice Canals', 'Rocky Mountains', 'Prague Castle']",155,1339,Sunny,High,Low,,"['Uluru', 'Temple of Karnak', 'Venice Canals', 'Rocky Mountains', 'Prague Castle']",2,33,Male,Germany,Group,Low,Adventure,Walk
13,14,130,"['Sistine Chapel', ""St. Peter's Basilica"", 'Pyramid of the Sun', 'Terracotta Army', 'Pyramids of Giza', 'Golden Gate Bridge', 'Kruger National Park']",582,7743,Cloudy,Low,High,Holiday,"['Sistine Chapel', ""St. Peter's Basilica"", 'Pyramid of the Sun', 'Terracotta Army', 'Pyramids of Giza', 'Golden Gate Bridge', 'Kruger National Park']",5,41,Other,India,Friends,Medium,Shopping,Train
14,15,107,"['Louvre Museum', ""St. Peter's Basilica"", 'Taj Mahal', 'Kyoto Temples', 'Budapest Parliament', 'Victoria Falls']",263,9695,Snowy,Medium,Low,,"['Louvre Museum', ""St. Peter's Basilica"", 'Taj Mahal', 'Kyoto Temples', 'Budapest Parliament', 'Victoria Falls']",4,39,Female,UK,Family,High,Food,Car
15,16,174,"['Great Wall of China', 'Pyramids of Giza', 'Grand Canyon', 'Iguazu Falls', 'Berlin Wall']",246,5125,Snowy,Medium,Low,Festival,"['Great Wall of China', 'Pyramids of Giza', 'Grand Canyon', 'Iguazu Falls', 'Berlin Wall']",2,58,Other,China,Family,Low,Food,Bike
16,17,14,"['Roman Forum', 'Statue of David', 'Yellowstone National Park', 'Berlin Wall']",559,2422,Cloudy,Low,Medium,Festival,"['Roman Forum', 'Statue of David', 'Yellowstone National Park', 'Berlin Wall']",5,35,Other,Japan,Group,Low,Shopping,Taxi
17,18,154,"['Acropolis of Athens', 'Leaning Tower of Pisa', 'Banff National Park', 'Table Mountain', 'Kruger National Park', 'Machu Picchu Citadel', 'Berlin Wall']",472,1833,Sunny,Medium,Medium,Holiday,"['Acropolis of Athens', 'Leaning Tower of Pisa', 'Banff National Park', 'Table Mountain', 'Kruger National Park', 'Machu Picchu Citadel', 'Berlin Wall']",4,42,Other,France,Solo,Medium,Adventure,Bus
18,19,121,"['Statue of David', 'Venice Canals', 'Kruger National Park']",417,8897,Rainy,High,High,Holiday,"['Statue of David', 'Venice Canals', 'Kruger National Park']",2,28,Other,Germany,Family,Medium,Adventure,Car
19,20,182,"['Pyramid of the Sun', 'Terracotta Army', 'Great Barrier Reef', 'Temple of Karnak', 'Grand Canyon']",261,2009,Rainy,High,High,Holiday,"['Pyramid of the Sun', 'Terracotta Army', 'Great Barrier Reef', 'Temple of Karnak', 'Grand Canyon']",2,69,Female,China,Family,Medium,Food,Train
20,21,51,"['Great Wall of China', 'Eiffel Tower', 'Statue of David', 'Great Wall of China', 'Forbidden City', 'Banff National Park', 'Iguazu Falls']",342,5285,Sunny,High,Low,,"['Great Wall of China', 'Eiffel Tower', 'Statue of David', 'Great Wall of China', 'Forbidden City', 'Banff National Park', 'Iguazu Falls']",2,38,Female,China,Solo,Medium,Adventure,Taxi
21,22,117,"['Times Square', 'Terracotta Army', 'Venice Canals', 'Berlin Wall']",369,6344,Snowy,Low,Medium,Holiday,"['Times Square', 'Terracotta Army', 'Venice Canals', 'Berlin Wall']",4,26,Female,USA,Friends,Low,Food,Walk
22,23,182,"['Uluru', 'Rocky Mountains', 'Machu Picchu Citadel']",246,8719,Cloudy,High,Low,Festival,"['Uluru', 'Rocky Mountains', 'Machu Picchu Citadel']",5,69,Female,China,Family,Medium,Food,Train
23,24,10,"['Sistine Chapel', ""St. Peter's Basilica"", 'Taj Mahal']",487,4526,Rainy,High,High,,"['Sistine Chapel', ""St. Peter's Basilica"", 'Taj Mahal']",1,46,Male,India,Family,High,Food,Train
24,25,195,"['Sistine Chapel', 'Central Park', 'Pyramids of Giza']",283,9824,Cloudy,Medium,Low,Holiday,"['Sistine Chapel', 'Central Park', 'Pyramids of Giza']",5,19,Other,France,Family,Medium,Cultural,Train
25,26,176,"['Louvre Museum', 'Forbidden City', 'Golden Gate Bridge', 'Rocky Mountains']",534,7467,Snowy,High,Low,,"['Louvre Museum', 'Forbidden City', 'Golden Gate Bridge', 'Rocky Mountains']",1,31,Other,China,Group,High,Relaxation,Taxi
26,27,111,"['Louvre Museum', ""St. Peter's Basilica"", 'Terracotta Army', 'Temple of Karnak', 'Table Mountain', 'Santorini']",366,7482,Rainy,High,Medium,,"['Louvre Museum', ""St. Peter's Basilica"", 'Terracotta Army', 'Temple of Karnak', 'Table Mountain', 'Santorini']",5,45,Female,Japan,Solo,Medium,Shopping,Car
27,28,95,"['Roman Forum', 'Uluru', 'Temple of Karnak']",559,9510,Cloudy,High,Medium,Holiday,"['Roman Forum', 'Uluru', 'Temple of Karnak']",1,42,Male,Japan,Family,Medium,Food,Bike
28,29,128,"['Statue of David', 'Pyramids of Giza', 'Sagrada Familia', 'Dubrovnik Old Town', 'Victoria Falls']",420,9269,Snowy,Medium,Medium,,"['Statue of David', 'Pyramids of Giza', 'Sagrada Familia', 'Dubrovnik Old Town', 'Victoria Falls']",3,66,Male,UK,Family,Medium,Nature,Train
29,30,195,"['Statue of David', 'Great Barrier Reef', 'Santorini']",548,4508,Sunny,High,Low,,"['Statue of David', 'Great Barrier Reef', 'Santorini']",3,19,Other,France,Family,Medium,Cultural,Train
30,31,154,"['Central Park', 'Pyramid of the Sun', 'Budapest Parliament']",396,3694,Cloudy,High,Low,Holiday,"['Central Park', 'Pyramid of the Sun', 'Budapest Parliament']",5,42,Other,France,Solo,Medium,Adventure,Bus
31,32,101,"['Eiffel Tower', 'Notre-Dame Cathedral', 'Uffizi Gallery', 'Machu Picchu', 'Red Fort', 'Table Mountain', 'Bora Bora']",540,6292,Rainy,High,Low,,"['Eiffel Tower', 'Notre-Dame Cathedral', 'Uffizi Gallery', 'Machu Picchu', 'Red Fort', 'Table Mountain', 'Bora Bora']",5,44,Male,France,Group,High,Shopping,Walk
32,33,33,"['Machu Picchu', 'Golden Gate Bridge', 'Kyoto Temples', 'Budapest Parliament', 'Berlin Wall']",383,8670,Rainy,Medium,Medium,,"['Machu Picchu', 'Golden Gate Bridge', 'Kyoto Temples', 'Budapest Parliament', 'Berlin Wall']",3,26,Male,USA,Friends,High,Food,Walk
33,34,87,"['Roman Forum', 'Statue of David', 'Temple of Karnak', 'Amber Fort', 'Golden Gate Bridge', 'Leaning Tower of Pisa']",531,2713,Rainy,Low,High,Festival,"['Roman Forum', 'Statue of David', 'Temple of Karnak', 'Amber Fort', 'Golden Gate Bridge', 'Leaning Tower of Pisa']",1,31,Female,Japan,Friends,Low,Food,Bus
34,35,163,"['Great Wall of China', 'Notre-Dame Cathedral', 'Uffizi Gallery', 'Christ the Redeemer', 'Victoria Falls']",419,8074,Sunny,Medium,Low,Holiday,"['Great Wall of China', 'Notre-Dame Cathedral', 'Uffizi Gallery', 'Christ the Redeemer', 'Victoria Falls']",4,59,Female,India,Friends,Low,Food,Car
35,36,144,"['Roman Forum', 'Uffizi Gallery', 'Machu Picchu Citadel']",428,5393,Sunny,High,High,Holiday,"['Roman Forum', 'Uffizi Gallery', 'Machu Picchu Citadel']",3,43,Male,Japan,Solo,High,Shopping,Walk
36,37,159,"['Sistine Chapel', 'Uluru', 'Banff National Park', 'Kruger National Park', 'Bora Bora', 'Dubrovnik Old Town']",223,1833,Rainy,Low,Medium,,"['Sistine Chapel', 'Uluru', 'Banff National Park', 'Kruger National Park', 'Bora Bora', 'Dubrovnik Old Town']",5,44,Female,UK,Group,Medium,Cultural,Bike
37,38,143,"['Pyramid of the Sun', 'Forbidden City', 'Machu Picchu', 'Sydney Opera House', 'Temple of Karnak', 'Amber Fort']",600,2014,Cloudy,Low,Low,,"['Pyramid of the Sun', 'Forbidden City', 'Machu Picchu', 'Sydney Opera House', 'Temple of Karnak', 'Amber Fort']",2,49,Male,France,Group,Medium,Nature,Car
38,39,157,"['Temple of Karnak', 'Banff National Park', 'Bora Bora', 'Santorini', 'Prague Castle']",392,2282,Rainy,Low,Low,,"['Temple of Karnak', 'Banff National Park', 'Bora Bora', 'Santorini', 'Prague Castle']",1,52,Other,Japan,Group,Low,Food,Bus
39,40,31,"['Louvre Museum', 'Roman Forum', 'Sagrada Familia', 'Banff National Park', 'Budapest Parliament', 'Iguazu Falls']",412,9373,Rainy,Low,Medium,Festival,"['Louvre Museum', 'Roman Forum', 'Sagrada Familia', 'Banff National Park', 'Budapest Parliament', 'Iguazu Falls']",1,61,Male,UK,Group,Low,Nature,Train
40,41,167,"['Great Wall of China', 'Christ the Redeemer', 'Sydney Opera House', 'Red Fort', 'Sagrada Familia', 'Statue of Liberty']",515,628,Snowy,Low,High,Festival,"['Great Wall of China', 'Christ the Redeemer', 'Sydney Opera House', 'Red Fort', 'Sagrada Familia', 'Statue of Liberty']",2,18,Other,China,Friends,Low,Nature,Car
41,42,78,"['Christ the Redeemer', 'Uluru', 'Temple of Karnak', 'Grand Canyon', 'Yellowstone National Park']",342,572,Cloudy,Low,High,,"['Christ the Redeemer', 'Uluru', 'Temple of Karnak', 'Grand Canyon', 'Yellowstone National Park']",1,68,Male,Germany,Group,Medium,Relaxation,Train
42,43,89,"['Temple of Karnak', 'Amber Fort', 'Statue of Liberty']",404,3962,Cloudy,Medium,Medium,,"['Temple of Karnak', 'Amber Fort', 'Statue of Liberty']",4,45,Male,USA,Group,Medium,Shopping,Train
43,44,17,"['Eiffel Tower', 'Sistine Chapel', 'Times Square', 'Statue of David', 'Uluru', 'Leaning Tower of Pisa', 'Grand Canyon']",289,7026,Rainy,High,Medium,,"['Eiffel Tower', 'Sistine Chapel', 'Times Square', 'Statue of David', 'Uluru', 'Leaning Tower of Pisa', 'Grand Canyon']",1,57,Male,UK,Group,Medium,Shopping,Taxi
44,45,39,"['Eiffel Tower', 'Roman Forum', 'Times Square', 'Uluru', 'Iguazu Falls']",258,3241,Snowy,Low,Low,Holiday,"['Eiffel Tower', 'Roman Forum', 'Times Square', 'Uluru', 'Iguazu Falls']",1,51,Female,India,Group,Low,Nature,Car
45,46,170,"['Machu Picchu', 'Christ the Redeemer', 'Statue of Liberty', 'Banff National Park', 'Kruger National Park', 'Yellowstone National Park', 'Victoria Falls']",231,7538,Rainy,High,Low,Holiday,"['Machu Picchu', 'Christ the Redeemer', 'Statue of Liberty', 'Banff National Park', 'Kruger National Park', 'Yellowstone National Park', 'Victoria Falls']",2,31,Other,UK,Solo,Low,Adventure,Taxi
46,47,190,"['Great Wall of China', 'Eiffel Tower', 'Central Park', 'Uffizi Gallery', 'Amber Fort']",562,8488,Sunny,Low,Medium,Holiday,"['Great Wall of China', 'Eiffel Tower', 'Central Park', 'Uffizi Gallery', 'Amber Fort']",5,35,Other,Germany,Group,High,Nature,Bus
47,48,59,"['Great Wall of China', 'Pyramid of the Sun', 'Great Wall of China', 'Forbidden City', 'Terracotta Army', 'Mount Fuji', 'Bora Bora']",152,2061,Snowy,High,Low,Holiday,"['Great Wall of China', 'Pyramid of the Sun', 'Great Wall of China', 'Forbidden City', 'Terracotta Army', 'Mount Fuji', 'Bora Bora']",1,53,Male,France,Friends,Low,Shopping,Car
48,49,69,"['Eiffel Tower', 'Times Square', 'Sydney Opera House', 'Uluru', 'Santorini']",483,3578,Snowy,Low,Low,Festival,"['Eiffel Tower', 'Times Square', 'Sydney Opera House', 'Uluru', 'Santorini']",4,56,Other,Japan,Family,Low,Nature,Car
49,50,70,"['Roman Forum', 'Uffizi Gallery', 'Dubrovnik Old Town']",497,8110,Cloudy,Medium,High,,"['Roman Forum', 'Uffizi Gallery', 'Dubrovnik Old Town']",5,54,Other,USA,Friends,Medium,Shopping,Bike
50,51,179,"['Eiffel Tower', 'Great Wall of China', 'Leaning Tower of Pisa', 'Santorini', 'Prague Castle']",495,3052,Sunny,Low,Medium,,"['Eiffel Tower', 'Great Wall of China', 'Leaning Tower of Pisa', 'Santorini', 'Prague Castle']",5,59,Male,Germany,Solo,Medium,Food,Bike
51,52,110,"['Pyramid of the Sun', 'Pyramids of Giza', 'Venice Canals', 'Table Mountain', 'Kruger National Park', 'Kyoto Temples', 'Dubrovnik Old Town']",184,8119,Sunny,Medium,Low,,"['Pyramid of the Sun', 'Pyramids of Giza', 'Venice Canals', 'Table Mountain', 'Kruger National Park', 'Kyoto Temples', 'Dubrovnik Old Town']",4,45,Other,Germany,Friends,Low,Food,Car
52,53,170,"['Red Fort', 'Sagrada Familia', 'Statue of Liberty', 'Prague Castle', 'Machu Picchu Citadel']",564,1067,Rainy,High,Medium,Holiday,"['Red Fort', 'Sagrada Familia', 'Statue of Liberty', 'Prague Castle', 'Machu Picchu Citadel']",1,31,Other,UK,Solo,Low,Adventure,Taxi
53,54,51,"['Forbidden City', 'Machu Picchu Citadel', 'Iguazu Falls']",290,2446,Cloudy,Medium,High,Holiday,"['Forbidden City', 'Machu Picchu Citadel', 'Iguazu Falls']",4,38,Female,China,Solo,Medium,Adventure,Taxi
54,55,197,"['Pyramid of the Sun', 'Taj Mahal', 'Golden Gate Bridge', 'Leaning Tower of Pisa']",410,3565,Cloudy,Low,High,Festival,"['Pyramid of the Sun', 'Taj Mahal', 'Golden Gate Bridge', 'Leaning Tower of Pisa']",5,23,Male,India,Group,High,Food,Walk
55,56,50,"['Colosseum', 'Roman Forum', 'Central Park', 'Uffizi Gallery', 'Acropolis of Athens', 'Leaning Tower of Pisa', 'Yellowstone National Park']",559,6052,Sunny,Medium,High,,"['Colosseum', 'Roman Forum', 'Central Park', 'Uffizi Gallery', 'Acropolis of Athens', 'Leaning Tower of Pisa', 'Yellowstone National Park']",2,66,Male,USA,Solo,High,Food,Train
56,57,5,"['Louvre Museum', 'Sydney Opera House', 'Sagrada Familia', 'Statue of Liberty', 'Bora Bora', 'Grand Canyon']",133,8002,Sunny,High,Medium,Holiday,"['Louvre Museum', 'Sydney Opera House', 'Sagrada Familia', 'Statue of Liberty', 'Bora Bora', 'Grand Canyon']",2,65,Other,Japan,Solo,Low,Cultural,Train
57,58,180,"['Statue of David', 'Uffizi Gallery', 'Acropolis of Athens', 'Dubrovnik Old Town']",375,1978,Snowy,Medium,High,Holiday,"['Statue of David', 'Uffizi Gallery', 'Acropolis of Athens', 'Dubrovnik Old Town']",2,38,Female,France,Solo,Low,Relaxation,Train
58,59,4,"['Eiffel Tower', 'Colosseum', 'Statue of David', 'Forbidden City', 'Christ the Redeemer', 'Rocky Mountains', 'Kruger National Park']",525,4523,Sunny,High,Low,Festival,"['Eiffel Tower', 'Colosseum', 'Statue of David', 'Forbidden City', 'Christ the Redeemer', 'Rocky Mountains', 'Kruger National Park']",3,31,Female,Germany,Family,Medium,Shopping,Car
59,60,42,"['Times Square', 'Machu Picchu', 'Uluru', 'Amber Fort', 'Prague Castle', 'Iguazu Falls']",206,1455,Sunny,Low,Medium,Holiday,"['Times Square', 'Machu Picchu', 'Uluru', 'Amber Fort', 'Prague Castle', 'Iguazu Falls']",5,23,Female,UK,Family,Medium,Adventure,Bus
60,61,156,"['Colosseum', 'Great Barrier Reef', 'Red Fort', 'Budapest Parliament', 'Berlin Wall']",386,6379,Snowy,Low,Low,Holiday,"['Colosseum', 'Great Barrier Reef', 'Red Fort', 'Budapest Parliament', 'Berlin Wall']",4,34,Other,India,Group,Medium,Nature,Bus
61,62,12,"['Great Wall of China', 'Roman Forum', 'Great Barrier Reef', 'Florence Cathedral', 'Santorini', 'Machu Picchu Citadel', 'Iguazu Falls']",598,6051,Cloudy,Low,Medium,Holiday,"['Great Wall of China', 'Roman Forum', 'Great Barrier Reef', 'Florence Cathedral', 'Santorini', 'Machu Picchu Citadel', 'Iguazu Falls']",5,47,Female,UK,Solo,High,Cultural,Train
62,63,114,"['Great Wall of China', 'Machu Picchu', 'Mount Fuji', 'Santorini', 'Iguazu Falls']",299,5406,Rainy,Medium,Medium,Festival,"['Great Wall of China', 'Machu Picchu', 'Mount Fuji', 'Santorini', 'Iguazu Falls']",4,19,Female,China,Family,High,Cultural,Taxi
63,64,104,"['Pyramid of the Sun', 'Temple of Karnak', 'Iguazu Falls']",453,3096,Rainy,Low,High,Holiday,"['Pyramid of the Sun', 'Temple of Karnak', 'Iguazu Falls']",5,51,Male,India,Group,Medium,Shopping,Bus
64,65,19,"['Times Square', 'Florence Cathedral', 'Yellowstone National Park']",379,3070,Snowy,Medium,Medium,,"['Times Square', 'Florence Cathedral', 'Yellowstone National Park']",3,32,Male,UK,Family,High,Nature,Train
65,66,146,"['Eiffel Tower', 'Notre-Dame Cathedral', 'Sistine Chapel', 'Forbidden City', 'Machu Picchu', 'Bora Bora']",480,1247,Sunny,Low,Low,Holiday,"['Eiffel Tower', 'Notre-Dame Cathedral', 'Sistine Chapel', 'Forbidden City', 'Machu Picchu', 'Bora Bora']",4,21,Female,USA,Solo,Medium,Food,Bus
66,67,132,"['Great Wall of China', 'Great Barrier Reef', 'Pyramids of Giza', 'Florence Cathedral', 'Rocky Mountains']",478,6925,Snowy,Medium,Medium,,"['Great Wall of China', 'Great Barrier Reef', 'Pyramids of Giza', 'Florence Cathedral', 'Rocky Mountains']",1,29,Female,Japan,Family,Medium,Relaxation,Train
67,68,79,"['Sistine Chapel', 'Golden Gate Bridge', 'Leaning Tower of Pisa']",123,1583,Rainy,Low,Low,Festival,"['Sistine Chapel', 'Golden Gate Bridge', 'Leaning Tower of Pisa']",3,20,Male,France,Friends,Low,Adventure,Taxi
68,69,192,"['Uluru', 'Statue of Liberty', 'Iguazu Falls']",352,8258,Rainy,High,High,,"['Uluru', 'Statue of Liberty', 'Iguazu Falls']",4,47,Female,India,Family,Medium,Shopping,Car
69,70,16,"[""St. Peter's Basilica"", 'Pyramid of the Sun', 'Forbidden City', 'Pyramids of Giza']",258,5285,Sunny,Low,High,Festival,"[""St. Peter's Basilica"", 'Pyramid of the Sun', 'Forbidden City', 'Pyramids of Giza']",2,32,Male,USA,Friends,Low,Relaxation,Walk
70,71,48,"['Colosseum', 'Statue of Liberty', 'Venice Canals', 'Mount Fuji', 'Prague Castle']",164,7130,Rainy,Medium,High,Festival,"['Colosseum', 'Statue of Liberty', 'Venice Canals', 'Mount Fuji', 'Prague Castle']",2,25,Male,Germany,Solo,Low,Cultural,Bus
71,72,106,"['Great Wall of China', 'Statue of David', 'Great Barrier Reef', 'Temple of Karnak', 'Acropolis of Athens', 'Florence Cathedral', 'Berlin Wall']",255,7414,Cloudy,Low,Low,Festival,"['Great Wall of China', 'Statue of David', 'Great Barrier Reef', 'Temple of Karnak', 'Acropolis of Athens', 'Florence Cathedral', 'Berlin Wall']",2,52,Female,India,Group,Low,Adventure,Car
72,73,116,"['Notre-Dame Cathedral', 'Colosseum', 'Uffizi Gallery', 'Great Wall of China', 'Machu Picchu', 'Berlin Wall']",234,5415,Snowy,Low,High,Festival,"['Notre-Dame Cathedral', 'Colosseum', 'Uffizi Gallery', 'Great Wall of China', 'Machu Picchu', 'Berlin Wall']",2,54,Male,France,Solo,Medium,Relaxation,Car
73,74,88,"['Great Wall of China', 'Louvre Museum', 'Notre-Dame Cathedral', 'Kyoto Temples', 'Santorini']",210,2479,Snowy,High,Medium,Holiday,"['Great Wall of China', 'Louvre Museum', 'Notre-Dame Cathedral', 'Kyoto Temples', 'Santorini']",2,33,Other,Germany,Group,Medium,Nature,Bike
74,75,50,"['Colosseum', 'Central Park', 'Times Square', 'Christ the Redeemer', 'Pyramids of Giza', 'Temple of Karnak', 'Banff National Park']",438,4836,Sunny,Medium,High,Holiday,"['Colosseum', 'Central Park', 'Times Square', 'Christ the Redeemer', 'Pyramids of Giza', 'Temple of Karnak', 'Banff National Park']",3,66,Male,USA,Solo,High,Food,Train
75,76,128,"['Central Park', 'Temple of Karnak', 'Amber Fort', 'Golden Gate Bridge', 'Florence Cathedral']",440,3830,Sunny,Low,Low,Holiday,"['Central Park', 'Temple of Karnak', 'Amber Fort', 'Golden Gate Bridge', 'Florence Cathedral']",5,66,Male,UK,Family,Medium,Nature,Train
76,77,195,"['Times Square', 'Christ the Redeemer', 'Pyramids of Giza']",506,6400,Rainy,Low,Medium,,"['Times Square', 'Christ the Redeemer', 'Pyramids of Giza']",3,19,Other,France,Family,Medium,Cultural,Train
77,78,99,"['Colosseum', 'Christ the Redeemer', 'Banff National Park']",328,8652,Snowy,High,Medium,Festival,"['Colosseum', 'Christ the Redeemer', 'Banff National Park']",3,35,Other,Japan,Group,High,Food,Taxi
78,79,195,"['Notre-Dame Cathedral', 'Forbidden City', 'Taj Mahal', 'Red Fort']",326,9940,Rainy,Medium,High,,"['Notre-Dame Cathedral', 'Forbidden City', 'Taj Mahal', 'Red Fort']",2,19,Other,France,Family,Medium,Cultural,Train
79,80,116,"['Machu Picchu', 'Florence Cathedral', 'Kyoto Temples', 'Victoria Falls']",501,7192,Rainy,Low,High,Festival,"['Machu Picchu', 'Florence Cathedral', 'Kyoto Temples', 'Victoria Falls']",3,54,Male,France,Solo,Medium,Relaxation,Car
80,81,196,"['Eiffel Tower', 'Colosseum', 'Central Park', 'Red Fort', 'Florence Cathedral', 'Bora Bora', 'Berlin Wall']",192,8731,Cloudy,Low,Medium,,"['Eiffel Tower', 'Colosseum', 'Central Park', 'Red Fort', 'Florence Cathedral', 'Bora Bora', 'Berlin Wall']",2,32,Other,USA,Group,Low,Nature,Car
81,82,185,"['Times Square', 'Pyramid of the Sun', 'Budapest Parliament']",347,5638,Snowy,High,Low,Festival,"['Times Square', 'Pyramid of the Sun', 'Budapest Parliament']",5,19,Female,UK,Friends,High,Relaxation,Taxi
82,83,194,"['Eiffel Tower', 'Notre-Dame Cathedral', 'Roman Forum', 'Temple of Karnak', 'Amber Fort', 'Prague Castle', 'Grand Canyon']",383,9592,Snowy,Medium,Medium,Holiday,"['Eiffel Tower', 'Notre-Dame Cathedral', 'Roman Forum', 'Temple of Karnak', 'Amber Fort', 'Prague Castle', 'Grand Canyon']",4,50,Male,Japan,Family,Medium,Shopping,Walk
83,84,160,"['Venice Canals', 'Santorini', 'Iguazu Falls', 'Dubrovnik Old Town', 'Victoria Falls']",595,4222,Snowy,Medium,High,Festival,"['Venice Canals', 'Santorini', 'Iguazu Falls', 'Dubrovnik Old Town', 'Victoria Falls']",2,43,Female,Germany,Friends,Low,Food,Taxi
84,85,161,"['Louvre Museum', 'Sydney Opera House', 'Statue of Liberty', 'Bora Bora', 'Santorini']",372,4163,Cloudy,High,Medium,Festival,"['Louvre Museum', 'Sydney Opera House', 'Statue of Liberty', 'Bora Bora', 'Santorini']",3,25,Male,China,Solo,Medium,Shopping,Car
85,86,21,"['Amber Fort', 'Red Fort', 'Acropolis of Athens', 'Machu Picchu Citadel']",320,2255,Rainy,High,Medium,,"['Amber Fort', 'Red Fort', 'Acropolis of Athens', 'Machu Picchu Citadel']",3,32,Male,Japan,Friends,Low,Nature,Bus
86,87,110,"['Louvre Museum', 'Great Barrier Reef', 'Leaning Tower of Pisa', 'Berlin Wall']",139,9597,Sunny,Low,Medium,,"['Louvre Museum', 'Great Barrier Reef', 'Leaning Tower of Pisa', 'Berlin Wall']",3,45,Other,Germany,Friends,Low,Food,Car
87,88,136,"['Times Square', 'Uffizi Gallery', 'Amber Fort', 'Venice Canals']",244,5358,Cloudy,High,Medium,Festival,"['Times Square', 'Uffizi Gallery', 'Amber Fort', 'Venice Canals']",3,62,Male,Germany,Family,High,Relaxation,Bike
